"well","sample_type","concentration"
"A1","unknown",NA
"B1","unknown",NA
"C1","unknown",NA
"D1","unknown",NA
"E1","unknown",NA
"F1","unknown",NA
"G1","unknown",NA
"H1","unknown",NA
"A2","unknown",NA
"B2","unknown",NA
"C2","unknown",NA
"D2","unknown",NA
"E2","unknown",NA
"F2","unknown",NA
"G2","unknown",NA
"H2","unknown",NA
"A3","unknown",NA
"B3","unknown",NA
"C3","unknown",NA
"D3","unknown",NA
"E3","unknown",NA
"F3","unknown",NA
"G3","unknown",NA
"H3","unknown",NA
"A4","unknown",NA
"B4","unknown",NA
"C4","unknown",NA
"D4","unknown",NA
"E4","unknown",NA
"F4","unknown",NA
"G4","unknown",NA
"H4","unknown",NA
"A5","unknown",NA
"B5","unknown",NA
"C5","unknown",NA
"D5","unknown",NA
"E5","unknown",NA
"F5","unknown",NA
"G5","unknown",NA
"H5","unknown",NA
"A6","unknown",NA
"B6","unknown",NA
"C6","unknown",NA
"D6","unknown",NA
"E6","unknown",NA
"F6","unknown",NA
"G6","unknown",NA
"H6","unknown",NA
"A7","unknown",NA
"B7","unknown",NA
"C7","unknown",NA
"D7","unknown",NA
"E7","unknown",NA
"F7","unknown",NA
"G7","unknown",NA
"H7","unknown",NA
"A8","unknown",NA
"B8","unknown",NA
"C8","unknown",NA
"D8","unknown",NA
"E8","unknown",NA
"F8","unknown",NA
"G8","unknown",NA
"H8","unknown",NA
"A9","unknown",NA
"B9","unknown",NA
"C9","unknown",NA
"D9","unknown",NA
"E9","unknown",NA
"F9","unknown",NA
"G9","unknown",NA
"H9","unknown",NA
"A10","unknown",NA
"B10","unknown",NA
"C10","unknown",NA
"D10","unknown",NA
"E10","unknown",NA
"F10","unknown",NA
"G10","unknown",NA
"H10","unknown",NA
"A11","standard",5000
"B11","standard",1428.57
"C11","standard",408.16
"D11","standard",116.62
"E11","standard",33.32
"F11","standard",9.52
"G11","unknown",NA
"H11","unknown",NA
"A12","standard",2.72
"B12","standard",0.78
"C12","standard",0.22
"D12","standard",0.06
"E12","standard",0.02
"F12","standard",0.01
"G12","unknown",NA
"H12","background",NA
