"plate","filename","well","sample_id"
"plate1","7-31-12 MA+GU_P1_A7.csv","A7","7-31-12 MA+GU_P1_A7_plate1_A7"
"plate1","7-31-12 MA+GU_P1_B11.csv","B11","7-31-12 MA+GU_P1_B11_plate1_B11"
"plate1","7-31-12 MA+GU_P1_B7.csv","B7","7-31-12 MA+GU_P1_B7_plate1_B7"
"plate1","7-31-12 MA+GU_P1_C11.csv","C11","7-31-12 MA+GU_P1_C11_plate1_C11"
"plate1","7-31-12 MA+GU_P1_C7.csv","C7","7-31-12 MA+GU_P1_C7_plate1_C7"
"plate1","7-31-12 MA+GU_P1_D7.csv","D7","7-31-12 MA+GU_P1_D7_plate1_D7"
"plate1","7-31-12MA+GU_P1_E7.csv","E7","7-31-12MA+GU_P1_E7_plate1_E7"
"plate1","7-31-12MA+GU_P1_F7.csv","F7","7-31-12MA+GU_P1_F7_plate1_F7"
"plate1","7-31-12 MA+GU_P1_G7.csv","G7","7-31-12 MA+GU_P1_G7_plate1_G7"
"plate1","7-31-12MA+GU_P1_H7.csv","H7","7-31-12MA+GU_P1_H7_plate1_H7"
